respondent_id,questionnaire_id,group_code,group,institution_code,questionnaire_number,mode,source_label,date_filled,sample1_code,sample1_format,sample2_code,sample2_format,child_age_years,child_gender,preschool_children_in_family,weekday_video_time,primary_device,content_chooser,co_viewing_frequency,precheck_frequency,selection_criteria_multi,content_quality_concern_1_5,knows_ai_content,has_given_ai_content,negative_reaction_seen,youtube_trust_1_5,sample1_likes,sample1_positive_value,sample1_safe,sample1_language_quality,sample1_age_fit,sample1_overall,sample1_guessed_origin,sample1_would_show,sample2_likes,sample2_positive_value,sample2_safe,sample2_language_quality,sample2_age_fit,sample2_overall,sample2_guessed_origin,sample2_would_show,open_q14_most_important,open_q15_what_avoid,selection_criteria_other_text,notes
P-online-022,Б-17-T3V2,Б,parent,online,17,google_form,Google Forms,2026-03-20 22:59:45.555000,T3,text,V2,video,4.0,Дівчинка,1.0,1–2 год.,Планшет,Разом,Іноді,Часто,"Позитивні цінності, Без насилля, Хороша мова, Дитині подобається",5.0,Так,"Так, свідомо",Ні,3.0,4.0,4.0,5.0,5.0,4.0,5.0,Традиційний,Скоріше так,3.0,4.0,4.0,5.0,4.0,4.0,ШІ,Так,"Зміст, які цінності вкладаються в дитину при перегляді, позитивні моменти, добро","Нецензурна лексика, насилля, контент де хтось когось може образити",,
P-online-023,Б-17-T3V2,Б,parent,online,17,google_form,Google Forms,2026-03-21 06:38:10.584000,T3,text,V2,video,5.0,Дівчинка,2.0,Більше 2 год.,Планшет,Разом,Іноді,Іноді,"Позитивні цінності, Без насилля, Дитині подобається",5.0,Так,Можливо,Ні,3.0,3.0,3.0,3.0,4.0,4.0,4.0,Традиційний,Скоріше так,3.0,4.0,4.0,4.0,4.0,3.0,ШІ,Скоріше так,"Цінності, відсутність насилля та жорстокості , відповідність віку","Жорстокості , насилля ",,
P-online-024,Б-19-T5V3,Б,parent,online,19,google_form,Google Forms,2026-03-20 13:20:32.165000,T5,text,V3,video,6.0,Хлопчик,1.0,1–2 год.,Планшет,Разом,Іноді,Часто,"Без насилля, Хороша мова",3.0,Так,Ні,Ні,3.0,3.0,5.0,5.0,5.0,5.0,4.0,Традиційний,Так,5.0,4.0,5.0,5.0,5.0,5.0,ШІ,Так,"Позитивний вплив на психіку, сприяння розвитку ","Агресивного контенту, нецензурної лексики і контенту",,
P-online-025,Б-19-T5V3,Б,parent,online,19,google_form,Google Forms,2026-03-20 19:35:24.452000,T5,text,V3,video,5.0,Дівчинка,2.0,1–2 год.,ПК / ноутбук,Разом,Рідко,Завжди,"Позитивні цінності, Без насилля, Спокійний темп, Хороша мова, Дитині подобається",5.0,Ні,Ні,"Так, неодноразово",4.0,3.0,3.0,3.0,3.0,3.0,3.0,Важко сказати,Так,3.0,2.0,3.0,2.0,3.0,2.0,Важко сказати,Скоріше так,"Доброта, розвиток","Насилля, негативні висловлювання, злість",,
P-online-026,Б-19-T5V3,Б,parent,online,19,google_form,Google Forms,2026-03-21 15:11:03.418000,T5,text,V3,video,5.0,Хлопчик,1.0,1–2 год.,Телевізор,Разом,Іноді,Завжди,"Позитивні цінності, Без насилля, Хороша мова, Дитині подобається",1.0,Так,Ні,Ні,1.0,5.0,5.0,5.0,5.0,5.0,5.0,Традиційний,Так,3.0,3.0,3.0,3.0,3.0,3.0,ШІ,Скоріше ні,"Вікова категорія, моральне виховання, норми поведінки...","Насилля, жахи",,
P-online-027,Б-20-T9V6,Б,parent,online,20,google_form,Google Forms,2026-03-20 08:47:01.987000,T9,text,V6,video,5.0,Хлопчик,1.0,1–2 год.,Смартфон,Разом,Рідко,Рідко,"Позитивні цінності, Без насилля, Хороша мова",3.0,Ні,Можливо,Ні,1.0,5.0,5.0,5.0,5.0,5.0,5.0,Важко сказати,Скоріше так,4.0,2.0,2.0,3.0,3.0,3.0,ШІ,Скоріше так,"Мова, цінності ","Насилля, нецензурна лексика, мова ",,
P-online-028,Б-20-T9V6,Б,parent,online,20,google_form,Google Forms,2026-03-20 09:08:37.049000,T9,text,V6,video,5.0,Дівчинка,1.0,Більше 2 год.,Смартфон,Дитина,Іноді,Завжди,"Позитивні цінності, Хороша мова, Дитині подобається",5.0,Так,Ні,Ні,3.0,3.0,3.0,3.0,3.0,3.0,3.0,Важко сказати,Скоріше ні,2.0,2.0,2.0,3.0,2.0,2.0,ШІ,Так,,,,
P-online-029,Б-20-T9V6,Б,parent,online,20,google_form,Google Forms,2026-03-20 17:21:45.431000,T9,text,V6,video,5.0,Хлопчик,1.0,1–2 год.,Телевізор,Дитина,Іноді,Часто,"Позитивні цінності, Без насилля, Хороша мова",2.0,"Чув(-ла), не впевнений(-а)",Ні,"Так, один раз",2.0,5.0,5.0,5.0,5.0,5.0,5.0,Важко сказати,Так,1.0,1.0,1.0,1.0,1.0,1.0,Важко сказати,Так,Щоб дитина мала бажання дивитися цю казку .,Матюки  ,,
P-online-030,Б-21-T3V3,Б,parent,online,21,google_form,Google Forms,2026-03-13 23:03:19.893000,T3,text,V3,video,2.0,Дівчинка,1.0,30–60 хв.,Планшет,Разом,Часто,Часто,"Позитивні цінності, Без насилля, Спокійний темп, Хороша мова, Дитині подобається",1.0,Так,Можливо,"Так, один раз",3.0,5.0,5.0,5.0,5.0,5.0,5.0,Важко сказати,Так,4.0,3.0,5.0,4.0,5.0,4.0,ШІ,Скоріше ні,Зміст контенту ,Контент з агресивними наративами,,
P-online-031,Б-21-T3V3,Б,parent,online,21,google_form,Google Forms,2026-03-20 21:22:40.797000,T3,text,V3,video,5.0,Дівчинка,2.0,Більше 2 год.,Смартфон,Дитина,Часто,Часто,"Без насилля, Хороша мова, Дитині подобається",3.0,Ні,Ні,Ні,3.0,4.0,4.0,4.0,5.0,5.0,5.0,ШІ,Так,4.0,3.0,5.0,4.0,3.0,4.0,ШІ,Так,Зацікавленість дитини,Насилля,,
P-online-032,Б-22-T5V1,Б,parent,online,22,google_form,Google Forms,2026-03-13 18:43:17.397000,T5,text,V1,video,5.0,Хлопчик,1.0,30–60 хв.,Планшет,Разом,Часто,Часто,"Позитивні цінності, Без насилля, Хороша мова, Дитині подобається",4.0,Так,Можливо,Ні,3.0,5.0,5.0,5.0,5.0,5.0,5.0,ШІ,Так,4.0,4.0,4.0,5.0,4.0,4.0,Важко сказати,Скоріше так,"Відповідність віку дитини, безпечний зміст і наявність позитивної моральної ідеї, яка сприяє розвитку мислення, уяви та формуванню добрих цінностей.","Свідомо уникаю контенту з насильством, агресією, грубою мовою та змістом, що не відповідає віку дитини. 
",,
P-online-033,Б-22-T5V1,Б,parent,online,22,google_form,Google Forms,2026-03-19 07:59:30.769000,T5,text,V1,video,5.0,Хлопчик,1.0,До 30 хв.,Телевізор,Я сам/-а,Завжди,Завжди,"Позитивні цінності, Без насилля, Хороша мова, Дитині подобається",2.0,Так,"Так, свідомо",Ні,3.0,4.0,4.0,4.0,5.0,3.0,4.0,Традиційний,Так,4.0,4.0,4.0,4.0,4.0,4.0,ШІ,Скоріше так,"Цікавий сюжет, правильне мовлення, відповідність віку","Російської мови, насилля",,
P-online-034,Б-22-T5V1,Б,parent,online,22,google_form,Google Forms,2026-03-20 10:23:46.738000,T5,text,V1,video,5 років,Дівчинка,1.0,1–2 год.,Планшет,Разом,Іноді,Іноді,"Без насилля, Спокійний темп, Хороша мова, Дитині подобається",3.0,Так,Можливо,"Так, один раз",2.0,5.0,5.0,4.0,5.0,4.0,5.0,Традиційний,Скоріше так,4.0,4.0,4.0,5.0,5.0,4.0,ШІ,Скоріше так,"Щоб було цікаво , щоб відповідало відео віку дитини, щось повчальне","Насильства, поганої мови",,
P-online-035,Б-23-T3V1,Б,parent,online,23,google_form,Google Forms,2026-03-20 08:33:31.804000,T3,text,V1,video,4.0,Хлопчик,1.0,До 30 хв.,Смартфон,Дитина,Рідко,Завжди,"Позитивні цінності, Без насилля, Хороша мова, Дитині подобається, Інше",1.0,Так,Ні,"Так, неодноразово",3.0,2.0,3.0,3.0,3.0,3.0,3.0,Важко сказати,Так,3.0,2.0,3.0,3.0,3.0,3.0,Традиційний,Так,"Українська мова, цінності","Російської мови, монстрів, чаклунства",,
P-online-036,Б-23-T3V1,Б,parent,online,23,google_form,Google Forms,2026-03-20 11:34:05.986000,T3,text,V1,video,6.0,Хлопчик,1.0,30–60 хв.,Телевізор,Я сам/-а,Іноді,Завжди,"Позитивні цінності, Без насилля, Спокійний темп, Хороша мова, Дитині подобається",5.0,Так,Ні,Ні,5.0,5.0,5.0,5.0,5.0,5.0,5.0,Традиційний,Так,5.0,5.0,5.0,5.0,5.0,5.0,Традиційний,Так,"українська мова, сюжет","москальцини, блоХерів",,
P-online-037,Б-23-T3V1,Б,parent,online,23,google_form,Google Forms,2026-03-20 12:43:27.924000,T3,text,V1,video,5 років,Дівчинка,1.0,1–2 год.,Телевізор,Разом,Іноді,Іноді,"Позитивні цінності, Без насилля, Хороша мова, Дитині подобається, Інше",1.0,Так,Ні,"Так, неодноразово",4.0,5.0,5.0,5.0,5.0,5.0,5.0,Традиційний,Так,1.0,1.0,1.0,3.0,2.0,2.0,ШІ,Скоріше ні,"Безпека, вікова категорія, емоції, виховна цінність","Дитина сама боїться страшних подій, обераємо позитивні, повчальні сюжети",,
P-online-038,Б-23-T3V1,Б,parent,online,23,google_form,Google Forms,2026-03-20 18:49:43.512000,T3,text,V1,video,4.0,Дівчинка,1.0,Більше 2 год.,Смартфон,Разом,Іноді,Завжди,Без насилля,2.0,Так,Можливо,Ні,2.0,3.0,5.0,5.0,5.0,2.0,5.0,Важко сказати,Так,3.0,4.0,5.0,5.0,4.0,3.0,ШІ,Скоріше так,Відповідність вікові і відповідність контенту,"Насилля,матюки і ганебна поведінка",,
P-online-039,Б-23-T3V1,Б,parent,online,23,google_form,Google Forms,2026-03-22 21:19:37.911000,T3,text,V1,video,5.0,Дівчинка,2.0,1–2 год.,Телевізор,Разом,Іноді,Іноді,"Без насилля, Спокійний темп",4.0,Так,Можливо,Ні,3.0,5.0,5.0,5.0,5.0,5.0,5.0,Традиційний,Скоріше так,5.0,5.0,5.0,5.0,5.0,5.0,ШІ,Так,"Цікаве,повчальне,корисне ","Насилля,щось страшне,що лякає дитину,те,що не несе користь ",,
P-online-040,Б-24-T1V4,Б,parent,online,24,google_form,Google Forms,2026-03-20 17:55:34.361000,T1,text,V4,video,5 років,Дівчинка,1.0,1–2 год.,Смартфон,Разом,Іноді,Завжди,Позитивні цінності,5.0,Так,Ні,"Так, неодноразово",1.0,3.0,3.0,3.0,3.0,3.0,3.0,Традиційний,Так,3.0,3.0,3.0,3.0,3.0,3.0,ШІ,Так,Щоб був пізнавальний і на українській мові,Відео різних блогерів,,
P-online-041,Б-24-T1V4,Б,parent,online,24,google_form,Google Forms,2026-03-26 21:56:48.750000,T1,text,V4,video,5.0,Хлопчик,2.0,Більше 2 год.,Смартфон,Разом,Рідко,Часто,"Позитивні цінності, Без насилля, Хороша мова, Дитині подобається",3.0,Так,Можливо,Ні,2.0,3.0,3.0,3.0,3.0,3.0,3.0,Традиційний,Скоріше так,3.0,3.0,3.0,3.0,2.0,3.0,ШІ,Так,Чи хоче дитина її дивитися,Блогерів,,
P-online-042,Б-24-T1V4,Б,parent,online,24,google_form,Google Forms,2026-03-30 19:37:00.533000,T1,text,V4,video,4.0,Дівчинка,1.0,30–60 хв.,Телевізор,Разом,Іноді,Завжди,"Позитивні цінності, Без насилля, Хороша мова",4.0,Так,Можливо,"Так, неодноразово",4.0,3.0,3.0,3.0,3.0,3.0,3.0,Традиційний,Так,3.0,3.0,3.0,3.0,3.0,3.0,ШІ,Скоріше так,,Російської мови,,
P-online-043,Б-18-T8V2,Б,parent,online,18,google_form,Google Forms,2026-03-20 21:13:51.499000,T8,text,V2,video,4.0,Хлопчик,3 і більше,До 30 хв.,Смартфон,Разом,Часто,Завжди,Хороша мова,3.0,Так,Ні,Ні,3.0,3.0,3.0,3.0,3.0,3.0,3.0,Важко сказати,Так,3.0,1.0,2.0,3.0,3.0,3.0,Традиційний,Так,Мова сенс,Російська мова ,,
P-online-044,Б-13-T4V2,Б,parent,online,13,google_form,Google Forms,2026-03-13 22:12:09.706000,T4,text,V2,video,5 років ,Дівчинка,1.0,30–60 хв.,Телевізор,Разом,Іноді,Завжди,"Позитивні цінності, Без насилля, Хороша мова, Дитині подобається",4.0,Так,Можливо,Ні,3.0,3.0,4.0,4.0,5.0,4.0,4.0,Важко сказати,Скоріше так,3.0,3.0,5.0,5.0,5.0,4.0,ШІ,Скоріше так,"Щоб зміст був зрозумілий дитині, добрий за змістом і відповідав її віку","Жорстокості; агресії; контенту, що не відповідає віку дитини; негативних прикладів поведінки та поганої лексики",,
