respondent_id,questionnaire_id,group_code,group,institution_code,questionnaire_number,mode,source_label,date_filled,sample1_code,sample1_format,sample2_code,sample2_format,years_experience,group_name,education,uses_video_audio_content,use_frequency_if_yes,usage_purpose_multi,content_source_multi,importance_precheck_1_5,quality_signs_multi,knows_ai_content,used_ai_in_work,ai_content_pedagogically_appropriate,youtube_trust_1_5,sample1_plot,sample1_value,sample1_language,sample1_psychological_safety,sample1_age_fit,sample1_overall,sample1_guessed_origin,sample1_would_use,sample2_plot,sample2_value,sample2_language,sample2_psychological_safety,sample2_age_fit,sample2_overall,sample2_guessed_origin,sample2_would_use,open_q13_main_risk_ai,open_q14_quality_signs,usage_purpose_other_text,content_source_other_text,quality_signs_other_text,notes
E-02-01,В-02-01-T5V2,В,educator,02,01,paper,,,T5,text,V2,video,0.11,,,"Так, регулярно",Кілька разів на тиждень,Тематичне заняття; Ранкове коло; Обговорення емоцій,YouTube,4,Чіткий сюжет; Позитивні цінності; Природне мовлення; Без насилля / переляку; Відповідність віку,Так,Можливо,Скоріше так,4,4,4,4,4,5,3,ШІ,Скоріше так,4,4,5,4,5,4,Важко сказати,Скоріше ні,«Заміна живого спілкування та реального досвіду дитини штучними контактами.»,"«Віковідповідність, простота і стислість, позитивний зміст, розвиваючий контент, стимулює активність, реалістичність, безпечні моделі поведінки, жива мова.»",,,,
E-01-08,B-01-08-T5V5,B,educator,01,08,paper,,,T5,text,V5,video,15,старша,Вища (дошкільна освіта),"Так, регулярно",Щодня,Тематичне заняття; Ранкове коло; Відпочинок / пауза; Розвиток мовлення; Обговорення емоцій,YouTube; Файли / флешка; Освітні платформи,5,Чіткий сюжет; Позитивні цінності; Спокійний темп; Природне мовлення; Без насилля / переляку; Відповідність віку,Так,"Так, свідомо",Так,3,4,4,4,4,5,3,Важко сказати,Скоріше так,4,4,5,4,5,4,Важко сказати,Скоріше ні,"«Відсутність порушення емоційного інтелекту дитини, недостача емоційного досвіду, уявлення про правдивість вражень емоційного розвитку.»","«Темп і продовженість, естетичність, змістовність, якість мови, емоції та поведінка, вікова відповідність, чи заохочує взаємодію з реальним світом, суть матеріалу, тема.»",,,,
E-01-06,B-01-06-T5V6,B,educator,01,06,paper,,,T5,text,V6,video,1,молодша,Вища (дошкільна освіта),"Так, регулярно",Рідше,Тематичне заняття; Обговорення емоцій,YouTube,5,Позитивні цінності; Відповідність віку,Так,Можливо,Скоріше так,4,4,3,5,4,4,4,Традиційний,Скоріше так,4,5,4,3,4,4,Традиційний,Скоріше так,"«Порушення природного розвитку мислення, уяви та соціальних навичок через надмірно готовий і спрощений контент.»","«Сюжет, герої, мова мовлення, має педагогічну мету, відповідь віку дитини, активізує мислення.»",,,,
E-02-02,B-02-02-T3V2,B,educator,02,02,paper,,,T3,text,V2,video,12,середня,Вища (дошкільна освіта),"Так, регулярно",Щодня,Відпочинок / пауза; Обговорення емоцій,YouTube; Освітні платформи,3,Чіткий сюжет; Позитивні цінності; Спокійний темп; Природне мовлення; Без насилля / переляку; Відповідність віку,Так,"Так, свідомо",Скоріше так,4,2,4,5,4,4,5,Традиційний,Скоріше так,2,3,2,3,4,3,Важко сказати,Скоріше ні,"«Це створення реальності та формування хибних уявлень, що може впливати на емоційний стан, поведінку та розвиток мислення.»","«зрозумілий та логічний сюжет»
«відповідність віку»
«чітка мова»
«помірний темп»
«змістовно психологічний зміст»",,,,
E-01-07,B-01-07-T6V3,B,educator,01,07,paper,,,T6,text,V3,video,,,Середня спеціальна,Іноді,Рідше,Тематичне заняття,YouTube,5,Чіткий сюжет; Природне мовлення; Відповідність віку,Так,Можливо,Скоріше так,3,4,3,5,5,4,4,Традиційний,Скоріше так,2,2,3,2,,2,Важко сказати,Скоріше ні,"«дитина більше взаємодіє з цифровим середовищем, ніж з живими людьми»
«звикає до готового ... результатів»","«відповідність віку»
«чітка мова»
«візуальна привабливість»
«природна мова»
«несе користь»",,,,
E-01-05,B-01-05-T1V1,B,educator,01,05,paper,,,T1,text,V1,video,12,раннього віку,Середня спеціальна,"Так, регулярно",Щодня,Тематичне заняття; Ранкове коло; Відпочинок / пауза; Розвиток мовлення,YouTube Kids; Файли / флешка; Освітні платформи,5,Чіткий сюжет; Позитивні цінності; Природне мовлення; Без насилля / переляку; Відповідність віку,Так,"Так, свідомо",Так,5,4,5,5,5,4,4,Важко сказати,Так,4,5,4,4,4,4,ШІ,Скоріше так,«Спотворення емоційного інтелекту та дефіцит живого соціального досвіду.»,"«естетичне та моральне цінність»
«інтерактивність та спонукання до дії»
«логічність та послідовність»
«позитивне підкріплення»",,,,
E-04-06,B-04-06-T2V4,B,educator,04,06,paper,,,T2,text,V4,video,14,старша,Вища (дошкільна освіта),"Так, регулярно",Щодня,Тематичне заняття,Освітні платформи,4,Чіткий сюжет; Позитивні цінності; Спокійний темп; Відповідність віку,Так,"Так, свідомо",Так,3,4,3,4,4,5,3,Важко сказати,Так,4,5,4,4,5,,ШІ,Так,«Підміна живого емоційного досвіду штучною взаємодією.»,"«Відповідають віку дитини, спокійний темп, надати розвиток, позитивний, заохочує до активності.»",,,,
E-04-03,B-04-03-T2V5,B,educator,04,03,paper,,,T2,text,V5,video,10,середня,Вища (інша),"Так, регулярно",Щодня,Тематичне заняття; Ранкове коло; Відпочинок / пауза; Розвиток мовлення; Обговорення емоцій,YouTube; Файли / флешка,5,Чіткий сюжет; Позитивні цінності; Спокійний темп; Природне мовлення; Без насилля / переляку; Відповідність віку,Так,"Так, свідомо",Так,3,2,3,3,5,3,3,Важко сказати,Ні,3,,4,5,4,4,ШІ,Скоріше ні,"«Вплив на розвиток мислення, адже дитина ще не вміє критично оцінювати інформацію, добро і розрізняти, де негатив, а де позитив.»",«Матеріал має дозволити дитині розвиватися без перевантаження та шкоди.»,,,,
E-04-01,B-04-01-T9V6,B,educator,04,01,paper,,,T9,text,V6,video,11,молодша,Вища (дошкільна освіта),"Так, регулярно",Щодня,Тематичне заняття; Відпочинок / пауза; Розвиток мовлення,YouTube,5,Без насилля / переляку; Відповідність віку,Так,"Так, свідомо",Скоріше ні,3,5,5,5,5,4,4,Важко сказати,Так,3,3,4,3,3,3,Важко сказати,Скоріше ні,"«Надмірне утримання уваги.»
«Оманливий контент.»
«Збір персональних даних.»","«Чіткий сюжет.»
«Якісний текст.»
«Чіткість мовлення.»",,,,
E-04-05,B-04-05-T7V3,B,educator,04,05,paper,,,T7,text,V3,video,30,старша,Середня спеціальна,Рідко,Рідше,Тематичне заняття; Відпочинок / пауза; Розвиток мовлення,YouTube; Освітні платформи,5,Чіткий сюжет; Позитивні цінності; Спокійний темп; Природне мовлення; Відповідність віку,Так,"Так, свідомо",Так,4,5,5,5,5,5,5,ШІ,Скоріше так,1,1,1,3,2,1,Важко сказати,Скоріше ні,"«Найбільший ризик — виснаження реальної картини світу та заміна живого емоційного спілкування штучними алгоритмами. Це призводить до пасивності мислення, зниження уяви, тому що труднощі у адаптації дитини.»","— реалістичність та природність;
— відповідність віковій психології;
— дотримання вимог програми;
— висока технічна якість.»",,,,
E-04-05,B-04-05-T7V3,B,educator,04,05,paper,,,T7,text,V3,video,20,середня,Середня спеціальна,"Так, регулярно",Щодня,Тематичне заняття; Ранкове коло; Розвиток мовлення,YouTube Kids; Освітні платформи,5,Чіткий сюжет; Без насилля / переляку; Відповідність віку,Так,"Так, свідомо",Важко відповісти,3,5,5,5,5,5,5,Традиційний,Так,1,1,4,2,1,1,ШІ,Скоріше ні,"«інтерактивність, насильність»
«нав'язувати свої стереотипи»
«відсутність реальності»
«імітація емоцій»","«Автор або організація»
«наявність пояснень»
«помірність»
«позитивний вплив»
«яскраве сприймання»",,,,
E-04-06,B-04-06-T2V4,B,educator,04,06,paper,,,T2,text,V4,video,23,старша,Вища (дошкільна освіта),Іноді,Кілька разів на тиждень,Обговорення емоцій,YouTube; YouTube Kids; Освітні платформи,5,Чіткий сюжет; Позитивні цінності; Без насилля / переляку,Так,"Так, свідомо",Скоріше ні,1,4,4,4,4,3,4,Важко сказати,Скоріше ні,4,4,4,3,3,4,ШІ,,«Спотворене сприйняття світу.»,"«цікавий матеріал»
«допомагає орієнтуватися в життєвих ситуаціях»
«заохочує до навчання і розвитку»",,,,
E-04-06,B-04-06-T2V4,B,educator,04,06,paper,,,T2,text,V4,video,19,молодша,Вища (інша),"Так, регулярно",Щодня,Відпочинок / пауза,YouTube Kids; Освітні платформи,5,Чіткий сюжет; Позитивні цінності,Так,"Так, свідомо",Скоріше так,4,4,4,4,4,4,4,Традиційний,Так,3,3,4,3,4,3,ШІ,Скоріше ні,«Зменшення логічного мислення та невміння аналізувати інформацію самостійно.»,"«Доступність»
«Доцільність»
«Зрозумілість»
«Актуальність»",,,,
E-04-06,B-04-06-T2V4,B,educator,04,06,paper,,,T2,text,V4,video,35,середня,Середня спеціальна,"Так, регулярно",Кілька разів на тиждень,Тематичне заняття; Відпочинок / пауза,Освітні платформи,5,Позитивні цінності; Спокійний темп; Без насилля / переляку,Так,"Так, свідомо",Так,5,5,5,5,5,4,5,ШІ,Так,4,3,3,5,5,4,ШІ,Скоріше так,"«Порушення причинно-наслідкових зв’язків; емоційна пасивність уяви; ШІ-контент не дає матеріалу для розвитку критичного мислення, любові.»","«Причино-ряд-наслідок»
«пауза для думки, запитання»
«мова»",,,,
E-04-06,B-04-06-T2V4,B,educator,04,06,paper,,,T2,text,V4,video,31,середня,Середня спеціальна,Іноді,Кілька разів на тиждень,Тематичне заняття; Ранкове коло; Відпочинок / пауза,YouTube; Освітні платформи,5,Чіткий сюжет; Позитивні цінності; Відповідність віку,Так,"Так, свідомо",Важко відповісти,3,2,3,3,4,3,3,Важко сказати,Скоріше так,5,4,3,4,4,3,ШІ,Так,"«Будь-який зміст, що містить перекручені моральні норми середовища.»","«темп та ритм мовлення (щоб був спокійний темп)»
«логічна думка (...)»
«... зрозумілі фрази»
«естетика та звук (кольори природи, ... голоси)»",,,,
E-04-02,B-04-02-T4V6,B,educator,04,02,paper,,,T4,text,V6,video,13,Середня,Середня спеціальна,Іноді,Кілька разів на тиждень,Тематичне заняття; Ранкове коло; Розвиток мовлення,YouTube; Освітні платформи,5,Чіткий сюжет; Спокійний темп; Відповідність віку,Так,"Так, свідомо",Важко відповісти,4,2,3,4,3,4,4,Важко сказати,Скоріше так,5,4,3,4,4,4,ШІ,Так,«Фейк-залежність; викривлена реальність; втрата соціальних навичок.»,"«Сюжет та логіка
(у сюжеті казки має бути і початок, середина та завершення).
Естетика та звук
(кольори мають бути природними, а не кислотними).»",,,,
E-03-06,В-03-06-T8V3,В,educator,03,06,paper,,,T8,text,V3,video,15,молодша,Вища (інша),Іноді,Рідше,Відпочинок / пауза,Файли / флешка,5,Позитивні цінності; Відповідність віку,Так,Можливо,Скоріше так,3,4,4,4,4,4,4,ШІ,Скоріше так,2,2,4,3,3,2,Важко сказати,Скоріше ні,«Відсутність спілкування з дорослими.»,"«Відповідність віку, якісні мовлення, психологічна думка.»",,,,
E-03-03,B-03-03-T9V3,B,educator,03,03,paper,,,T9,text,V3,video,12,середня,Вища (інша),Рідко,Рідше,Відпочинок / пауза,YouTube,5,Позитивні цінності; Природне мовлення,Так,"Так, свідомо",Скоріше так,3,4,3,4,4,3,2,ШІ,Скоріше ні,4,3,,4,3,4,Важко сказати,Так,«Менше спілкування з дорослими чи однолітками.»,"«це … виклад … за змістом»
«без негативних героїв»
«безпечний та зрозумілий»",,,,
E-03-02,B-03-02-T9V3,B,educator,03,02,paper,,,T9,text,V3,video,11,середня,Вища (інша),Іноді,Рідше,Тематичне заняття; Розвиток мовлення,YouTube; Файли / флешка,5,Позитивні цінності; Природне мовлення; Без насилля / переляку; Відповідність віку,Так,Можливо,Важко відповісти,3,5,5,5,4,5,5,ШІ,Скоріше так,3,5,3,5,5,4,ШІ,Скоріше ні,"«Недостатнє кількісне спілкування між дітьми, та слабкий мовленнєвий розвиток дошкільника.»","«Чіткий сюжет, природність мовлення, відповідність віку.»",,,,
E-03-01,B-03-01-T8V5,B,educator,03,01,paper,,,T8,text,V5,video,3,середня,Середня спеціальна,Іноді,Кілька разів на тиждень,Тематичне заняття; Відпочинок / пауза; Розвиток мовлення,YouTube; Файли / флешка; Освітні платформи,5,Чіткий сюжет; Позитивні цінності; Спокійний темп; Природне мовлення; Без насилля / переляку; Відповідність віку,Так,Можливо,Важко відповісти,3,5,5,5,4,5,5,ШІ,Скоріше так,3,5,3,5,5,4,ШІ,Скоріше ні,«Недостатня кількість спілкування між дітьми.»,"«Чіткий сюжет, вікова доречність, психологічна безпека.»",,,,
E-03-04,B-03-04-T6V2,B,educator,03,04,paper,,,T6,text,V2,video,20,середня,Вища (інша),"Так, регулярно",Кілька разів на тиждень,Тематичне заняття; Інше,YouTube; Файли / флешка; Інше,4,Чіткий сюжет; Позитивні цінності; Спокійний темп; Природне мовлення; Без насилля / переляку; Відповідність віку,Так,"Так, свідомо",Скоріше ні,2,4,4,4,3,4,4,ШІ,Скоріше ні,4,3,5,4,3,4,ШІ,Скоріше так,«Дефіцит спілкування з дорослими та з батьками.»,"«за змістом»
«за віком»
«відповідно дитинств(у)»
«без негативу»
«зрозумілість»",репетиції до свят,методична література,,
E-03-05,B-03-05-T4V4,B,educator,03,05,paper,,,T4,text,V4,video,18,молодша,Вища (дошкільна освіта),"Так, регулярно",Щодня,Тематичне заняття,YouTube; YouTube Kids; Файли / флешка; Освітні платформи; Інше,5,Чіткий сюжет; Позитивні цінності; Спокійний темп; Природне мовлення; Без насилля / переляку; Відповідність віку,,"Так, свідомо",Важко відповісти,3,4,5,5,4,4,4,ШІ,Скоріше ні,4,3,5,5,5,4,ШІ,Скоріше так,«Дефіцит логічного мислення та спілкування.»,"«за віком»
«за якістю мовлення»
«без насилля»
«за змістом»",,методична література,,
E-КТФ-03,B-КТФ-03-T2V1,B,educator,КТФ,03,paper,,,T2,text,V1,video,1,різновікова,Вища (дошкільна освіта),Іноді,Кілька разів на тиждень,Інше,YouTube; YouTube Kids,5,Чіткий сюжет; Позитивні цінності; Спокійний темп; Природне мовлення; Без насилля / переляку; Відповідність віку,Так,Можливо,Так,4,4,3,5,5,5,4,Важко сказати,Скоріше так,4,5,4,4,4,4,Важко сказати,,"«Якщо контент агресивний / не відповідає віку, то можуть порушитись уявлення про моральність.»",«Гарна мова та сюжетність.»,Сон,,,
E-online-001,В-06-T4V6,В,educator,online,6,google_form,Google Forms,2026-03-19 07:58:05.592000,T4,text,V6,video,35.0,Середня,Вища (інша),Іноді,Кілька разів на тиждень,"Тематичне заняття, Ранкове коло, Обговорення емоцій","YouTube, Файли / флешка",5.0,"Позитивні цінності, Відповідність віку",Так,"Так, свідомо",Скоріше так,3.0,3.0,4.0,4.0,4.0,4.0,4.0,ШІ,Скоріше так,4.0,4.0,5.0,4.0,3.0,3.0,ШІ,Скоріше так,Не відповідність вікута психологічному розвитку дитини,Відповідає віковим особливостям,,,,
E-online-002,В-07-T9V3,В,educator,online,7,google_form,Google Forms,2026-03-20 12:49:51.984000,T9,text,V3,video,14 років,Середня з інклюзивною формою навчання,Вища (інша),"Так, регулярно",Кілька разів на тиждень,"Тематичне заняття, Розвиток мовлення, Інше","YouTube, YouTube Kids, Файли / флешка, Освітні платформи",5.0,"Чіткий сюжет, Позитивні цінності, Спокійний темп, Природне мовлення, Без насилля / переляку, Відповідність віку",Так,"Так, свідомо",Скоріше так,4.0,2.0,3.0,3.0,4.0,3.0,3.0,ШІ,Скоріше ні,3.0,2.0,4.0,4.0,4.0,3.0,ШІ,Скоріше ні,"Діти гірше фантазують, часто сприймають вигадку за реальність, стають дратівливими, важче зосереджуються швидко нудьгують. ","Мати пізнавальний зміст, чіткий сюжет, відповідати віку дітей, чітка, правил на мова, адекватні емоції",,,,
E-online-003,В-07-T9V3,В,educator,online,7,google_form,Google Forms,2026-03-23 07:00:09.605000,T9,text,V3,video,26 років,Група для дітей зі складними комбінованими діагнозами,Середня спеціальна,"Так, регулярно",Кілька разів на тиждень,"Тематичне заняття, Відпочинок / пауза, Розвиток мовлення","YouTube, Файли / флешка, Освітні платформи",5.0,"Чіткий сюжет, Позитивні цінності, Спокійний темп, Природне мовлення, Без насилля / переляку, Відповідність віку",Так,"Так, свідомо",Так,3.0,4.0,4.0,5.0,5.0,4.0,4.0,Важко сказати,Скоріше так,2.0,2.0,3.0,2.0,2.0,2.0,ШІ,Скоріше ні,Це порушення формування реального мислення й емоційного досвіду через підміну живого спілкування штучним.,"Це той матеріал, що простий, спокійний за темпом, викликає активність дитини, розвиває мислення й мовлення та формує позитивні емоції і поведінку.",,,,
E-online-004,В-08-T2V3,В,educator,online,8,google_form,Google Forms,2026-03-13 16:18:59.966000,T2,text,V3,video,19.0,4-А,Середня спеціальна,"Так, регулярно",Кілька разів на тиждень,"Тематичне заняття, Відпочинок / пауза, Розвиток мовлення, Обговорення емоцій","YouTube, Освітні платформи, Телебачення",5.0,"Чіткий сюжет, Спокійний темп, Без насилля / переляку, Відповідність віку",Так,Можливо,Так,5.0,5.0,5.0,5.0,5.0,5.0,5.0,Важко сказати,Так,5.0,5.0,4.0,4.0,5.0,5.0,ШІ,Так,"Якщо вірно підібрати контент , то ризику не буде ","Безпека, відповідність віку , простота і зрозумілість ",,,,
E-online-005,В-08-T2V3,В,educator,online,8,google_form,Google Forms,2026-03-19 09:44:40.821000,T2,text,V3,video,32.0,Середня логопедична,Середня спеціальна,"Так, регулярно",Кілька разів на тиждень,"Тематичне заняття, Ранкове коло, Розвиток мовлення",YouTube,5.0,"Чіткий сюжет, Позитивні цінності, Спокійний темп, Природне мовлення, Без насилля / переляку, Відповідність віку",Так,"Так, свідомо",Скоріше так,3.0,4.0,2.0,4.0,4.0,3.0,4.0,Традиційний,Скоріше так,4.0,2.0,4.0,5.0,4.0,4.0,ШІ,Скоріше так,"Прояви насилля, невідповідність віковим вимогам, агресивність, затримка мовленнєвого розитку","Чіткий сюжет, вікова доречність, психологічна безпека, ціннісний зміст",,,,
E-online-006,В-08-T2V3,В,educator,online,8,google_form,Google Forms,2026-03-19 12:30:47.892000,T2,text,V3,video,12.0,Середня ,Вища (дошкільна освіта),"Так, регулярно",Щодня,"Тематичне заняття, Відпочинок / пауза, Обговорення емоцій","YouTube, Освітні платформи",3.0,"Чіткий сюжет, Позитивні цінності, Спокійний темп, Природне мовлення, Без насилля / переляку, Відповідність віку",Так,"Так, свідомо",Так,4.0,2.0,3.0,3.0,3.0,3.0,2.0,Традиційний,Так,3.0,3.0,2.0,3.0,2.0,3.0,Важко сказати,Скоріше так,"Найбільший ризик ШІ-контенту для дошкільника — це спотворення реальності та формування хибних уявлень (дитина не завжди відрізняє вигадку від правди), що може впливати на емоційний стан, поведінку та розвиток мислення.","•	зрозумілий і логічний сюжет;
	•	відповідність віку;
	•	безпечний психологічний зміст (без страху, агресії);
	•	чітка, правильна мова;
	•	наявність навчальної або виховної цінності;
	•	помірний темп і простота сприйняття.",,,,
E-online-007,В-08-T2V3,В,educator,online,8,google_form,Google Forms,2026-03-20 12:49:52.856000,T2,text,V3,video,14 років,Середня з інклюзивною формою навчання ,Вища (інша),"Так, регулярно",Кілька разів на тиждень,"Тематичне заняття, Розвиток мовлення, Інше","YouTube, YouTube Kids, Файли / флешка, Освітні платформи",5.0,"Чіткий сюжет, Позитивні цінності, Спокійний темп, Природне мовлення, Без насилля / переляку, Відповідність віку",Так,"Так, свідомо",Скоріше так,4.0,5.0,5.0,5.0,5.0,4.0,5.0,Важко сказати,Скоріше так,3.0,2.0,4.0,4.0,4.0,2.0,ШІ,Ні,"
Гірше фантазує, 
Менше грається з іншими дітьми,
Стає менш терплячою,
Важче зосереджується,
Плутає вигадку і реальність,
Менше говорить і спілкується,
Швидко нудьгує без екрана.","Пізнавальний зміст, чіткий сюжет, чітка та правильна мова, адекватні емоції, відповідність віку дітей.",,,,
E-online-008,В-09-T7V2,В,educator,online,9,google_form,Google Forms,2026-03-13 22:05:02.110000,T7,text,V2,video,11 місяців,,Середня спеціальна,"Так, регулярно",Кілька разів на тиждень,"Тематичне заняття, Відпочинок / пауза, Розвиток мовлення, Обговорення емоцій","YouTube, Файли / флешка, Освітні платформи",4.0,"Позитивні цінності, Природне мовлення, Без насилля / переляку, Відповідність віку",Так,"Так, свідомо",Скоріше так,3.0,5.0,4.0,5.0,5.0,5.0,4.0,Традиційний,Скоріше так,3.0,3.0,4.0,4.0,3.0,3.0,Важко сказати,Скоріше ні,Заміна живого спілкування з дорослими та дітьми.,"Якісна, зрозуміла, доречна наочність; структурований зміст; якість мовлення (якщо це відео-контент)",,,,
